State,pop_pct_change,crash_rate_pct_change
Utah,1.2484453206585102,-1.1436694948101889
Idaho,1.8231762198881067,7.49955316958561
Arizona,1.2983014027629098,1.8939888852989955
California,-0.2903431676950798,-3.1015948238448297
Colorado,0.49264389687878624,4.494490706806206
Montana,1.5042120649740063,0.4810794990839317
Nevada,0.9970118249352752,-2.005296417489328
Oregon,-0.3797663746055554,19.562694005899967
Washington,0.5818690578232457,5.590446741273217
Wyoming,0.3271870712788079,13.152909980366353
